added_fields,added_methods,added_packages,added_relations,added_types,agent,changed_fields,changed_methods,changed_relations,component_exact_fields,component_exact_methods,component_exact_packages,component_exact_relations,component_exact_types,component_fuzzy_field_preservation,component_fuzzy_matched_type_coverage,component_fuzzy_method_preservation,component_fuzzy_name_package_retention,component_fuzzy_relation_preservation,exact_similarity,fuzzy_similarity,likely_renamed_or_moved_types,missing_fields,missing_methods,missing_packages,missing_relations,missing_types,repo_slug,run_id,variant
0,16,0,27,2,claude,1,3,0,0.8,0.786667,1.0,0.846154,0.833333,0.869565,0.833333,0.813793,1.0,0.038462,0.839513,0.652809,0,1,5,0,23,0,EsotericSoftware_reflectasm,20260510T154820Z__EsotericSoftware_reflectasm__e34c5e8b,v3
3,30,14,305,63,claude,28,5,0,0.620209,0.637037,0.5,0.534137,0.635294,0.740426,0.6,0.887737,0.989804,0.176707,0.589503,0.611768,1,2,25,0,105,5,esoxjem_MovieGuide,20260510T154826Z__esoxjem_MovieGuide__dc1f20fb,generated
5,32,10,322,55,claude,28,7,0,0.542056,0.599755,0.583333,0.5,0.674847,0.725,0.638037,0.850694,1.0,0.174419,0.578304,0.613905,0,5,40,0,104,4,esoxjem_MovieGuide,20260510T154826Z__esoxjem_MovieGuide__dc1f20fb,v2
11,48,16,290,64,claude,43,8,0,0.417582,0.525529,0.466667,0.502092,0.517647,0.491379,0.588235,0.767273,1.0,0.16318,0.494449,0.544427,0,21,64,0,110,6,esoxjem_MovieGuide,20260510T154826Z__esoxjem_MovieGuide__dc1f20fb,v3
4,73,11,218,49,claude,15,16,0,0.33945,0.329114,0.421053,0.38806,0.326531,0.690909,0.503401,0.643564,0.909401,0.069652,0.356896,0.491723,12,0,39,0,156,24,evant_binding-collection-adapter,20260510T154832Z__evant_binding-collection-adapter__ac7972e1,generated
2,44,12,202,41,claude,17,19,0,0.309392,0.276753,0.4,0.335079,0.307692,0.571429,0.430769,0.506494,0.940231,0.052356,0.319206,0.423356,7,6,70,0,160,33,evant_binding-collection-adapter,20260510T154832Z__evant_binding-collection-adapter__ac7972e1,v2
4,67,10,191,40,claude,12,16,0,0.397906,0.325153,0.444444,0.413793,0.35461,0.71028,0.567376,0.609819,0.891398,0.084881,0.381951,0.509079,12,3,52,0,154,21,evant_binding-collection-adapter,20260510T154832Z__evant_binding-collection-adapter__ac7972e1,v3
2,19,5,262,13,claude,8,47,0,0.372881,0.649446,0.705882,0.703546,0.792208,0.536585,0.831169,0.747475,0.995486,0.12766,0.665526,0.610797,2,1,12,0,353,13,frohoff_ysoserial,20260510T154845Z__frohoff_ysoserial__218bcffc,generated
2,9,0,229,3,claude,0,29,0,0.567164,0.631579,1.0,0.706569,0.893617,0.926829,0.865248,0.705882,0.998965,0.169343,0.746765,0.682008,2,1,58,0,340,16,frohoff_ysoserial,20260510T154845Z__frohoff_ysoserial__218bcffc,v2
4,32,1,311,21,claude,78,3,0,0.44226,0.682014,0.97561,0.756129,0.86758,0.527859,0.894977,0.90631,1.0,0.260645,0.744037,0.694095,1,1,11,0,262,2,gothinkster_spring-boot-realworld-example-app,20260511T105128Z__gothinkster_spring-boot-realworld-example-app__ee17e31a,generated
5,29,1,292,19,claude,66,22,0,0.482412,0.795322,0.97561,0.750999,0.87963,0.576577,0.898148,0.811133,1.0,0.255659,0.774194,0.682072,1,4,22,0,267,3,gothinkster_spring-boot-realworld-example-app,20260511T105128Z__gothinkster_spring-boot-realworld-example-app__ee17e31a,v2
2,27,1,298,25,claude,70,10,0,0.419512,0.755556,0.97561,0.726302,0.858447,0.56,0.858447,0.818381,0.994265,0.23498,0.744101,0.663382,3,1,36,0,275,6,gothinkster_spring-boot-realworld-example-app,20260511T105128Z__gothinkster_spring-boot-realworld-example-app__ee17e31a,v3
11,47,0,281,3,claude,58,59,0,0.78863,0.579661,1.0,0.712454,0.862275,0.887631,0.886228,0.594783,0.99848,0.355311,0.763532,0.706645,2,12,68,0,423,35,Grt1228_chatgpt-java,20260511T105134Z__Grt1228_chatgpt-java__ae761b89,generated
11,16,0,270,3,claude,43,28,0,0.792593,0.77027,1.0,0.738182,0.885542,0.889439,0.879518,0.801406,0.996027,0.387273,0.815783,0.753973,2,37,41,0,404,37,Grt1228_chatgpt-java,20260511T105134Z__Grt1228_chatgpt-java__ae761b89,v2
55,16,0,264,5,claude,47,22,0,0.762857,0.737968,1.0,0.749543,0.869048,0.844584,0.880952,0.76525,0.995766,0.389397,0.804147,0.740949,3,49,67,0,404,35,Grt1228_chatgpt-java,20260511T105134Z__Grt1228_chatgpt-java__ae761b89,v3
1,21,0,84,1,claude,9,29,0,0.972504,0.88042,1.0,0.916364,0.925373,0.972504,0.985075,0.884211,1.0,0.407273,0.928212,0.820058,1,0,9,0,79,0,happyfish100_fastdfs-client-java,20260511T105140Z__happyfish100_fastdfs-client-java__4e7b6b34,generated
13,8,1,76,2,claude,10,33,0,0.901034,0.831025,0.857143,0.911877,0.939394,0.914543,0.939394,0.842697,1.0,0.383142,0.895486,0.783324,0,24,38,0,85,2,happyfish100_fastdfs-client-java,20260511T105140Z__happyfish100_fastdfs-client-java__4e7b6b34,v2
22,32,0,82,2,claude,23,19,0,0.773006,0.787115,1.0,0.776923,0.923077,0.794953,0.923077,0.80057,1.0,0.330769,0.83722,0.738972,0,62,70,0,92,3,happyfish100_fastdfs-client-java,20260511T105140Z__happyfish100_fastdfs-client-java__4e7b6b34,v3
1,34,0,190,1,claude,17,46,0,0.79602,0.75,1.0,0.833667,1.0,0.812183,0.984848,0.756757,1.0,0.292585,0.869503,0.74178,0,2,36,0,163,1,j-easy_easy-rules,20260511T105145Z__j-easy_easy-rules__d4450831,generated
9,34,0,177,0,claude,10,28,0,0.834951,0.808955,1.0,0.856566,0.984848,0.834951,1.0,0.808955,1.0,0.331313,0.890216,0.769862,0,5,38,0,154,0,j-easy_easy-rules,20260511T105145Z__j-easy_easy-rules__d4450831,v2
3,46,0,189,0,claude,8,38,0,0.851282,0.722307,1.0,0.832669,0.992366,0.860104,0.992366,0.731183,1.0,0.306773,0.870046,0.749655,0,8,53,0,159,1,j-easy_easy-rules,20260511T105145Z__j-easy_easy-rules__d4450831,v3
8,13,0,37,1,claude,2,6,0,0.716981,0.752475,1.0,0.736842,0.875,0.75,0.9375,0.785714,0.984615,0.368421,0.797845,0.74146,2,14,17,0,35,1,JakeWharton_RxRelay,20260511T105150Z__JakeWharton_RxRelay__9540ecc7,generated
8,11,1,24,1,claude,4,7,0,0.660194,0.737374,0.666667,0.807692,0.875,0.673267,0.9375,0.770833,1.0,0.461538,0.774228,0.751791,1,17,19,0,32,1,JakeWharton_RxRelay,20260511T105150Z__JakeWharton_RxRelay__9540ecc7,v2
13,5,1,36,1,claude,3,4,0,0.648148,0.810256,0.666667,0.672414,0.909091,0.648148,0.969697,0.835979,1.0,0.413793,0.754937,0.758775,0,19,18,0,32,0,JakeWharton_RxRelay,20260511T105150Z__JakeWharton_RxRelay__9540ecc7,v3
1,15,0,48,3,claude,3,24,0,0.5,0.402778,1.0,0.580645,0.380952,0.571429,0.857143,0.442857,0.87889,0.086022,0.524987,0.540823,3,2,15,0,37,0,jOOQ_jOOR,20260511T105155Z__jOOQ_jOOR__23e17cf3,generated
2,17,1,44,2,claude,2,20,0,0.545455,0.4,0.666667,0.590909,0.444444,0.571429,0.777778,0.441176,0.97931,0.068182,0.516869,0.522259,1,3,19,0,38,2,jOOQ_jOOR,20260511T105155Z__jOOQ_jOOR__23e17cf3,v2
2,15,0,46,4,claude,1,16,0,0.272727,0.371429,1.0,0.549451,0.47619,0.428571,0.761905,0.45,0.918897,0.087912,0.499078,0.496725,2,4,19,0,37,1,jOOQ_jOOR,20260511T105155Z__jOOQ_jOOR__23e17cf3,v3
10,136,1,242,2,claude,10,14,0,0.804878,0.596026,0.96,0.759494,0.8125,0.888158,0.895833,0.6787,0.980973,0.2391,0.76691,0.695586,6,4,14,0,299,18,LianjiaTech_retrofit-spring-boot-starter,20260511T105200Z__LianjiaTech_retrofit-spring-boot-starter__24cb9eda,generated
13,68,2,244,5,claude,9,11,0,0.664474,0.554455,0.923077,0.678063,0.762887,0.780669,0.876289,0.665138,0.980804,0.210826,0.69701,0.663801,8,28,56,0,310,19,LianjiaTech_retrofit-spring-boot-starter,20260511T105200Z__LianjiaTech_retrofit-spring-boot-starter__24cb9eda,v2
22,94,1,206,4,claude,9,14,0,0.600683,0.423868,0.96,0.595944,0.836957,0.690196,0.826087,0.513716,0.987803,0.159126,0.658898,0.592661,3,39,73,0,333,28,LianjiaTech_retrofit-spring-boot-starter,20260511T105200Z__LianjiaTech_retrofit-spring-boot-starter__24cb9eda,v3
15,12,0,312,0,claude,6,70,0,0.945665,0.678261,1.0,0.868486,0.938776,0.964623,0.938776,0.71298,1.0,0.181141,0.872742,0.714207,0,3,5,0,348,9,linkedin_kafka-monitor,20260511T105205Z__linkedin_kafka-monitor__043db641,generated
74,16,0,268,3,claude,33,71,0,0.56925,0.464844,1.0,0.53719,0.855072,0.63662,0.826087,0.534247,0.989474,0.101928,0.653281,0.574598,2,118,46,0,384,21,linkedin_kafka-monitor,20260511T105205Z__linkedin_kafka-monitor__043db641,v2
31,25,0,307,1,claude,13,73,0,0.814181,0.59469,1.0,0.788945,0.945946,0.82939,0.932432,0.606498,1.0,0.170854,0.814235,0.668151,0,80,47,0,353,9,linkedin_kafka-monitor,20260511T105205Z__linkedin_kafka-monitor__043db641,v3
4,7,0,191,0,claude,6,21,0,0.935484,0.911628,1.0,0.960396,1.0,0.935484,1.0,0.911628,1.0,0.363036,0.960767,0.813407,0,4,8,0,195,0,macrozheng_mall-tiny,20260511T105211Z__macrozheng_mall-tiny__a81ec474,generated
9,10,0,196,1,claude,4,13,0,0.926518,0.932308,1.0,0.956381,0.993711,0.926518,0.993711,0.933744,1.0,0.38126,0.960781,0.819155,0,6,7,0,187,0,macrozheng_mall-tiny,20260511T105211Z__macrozheng_mall-tiny__a81ec474,v2
3,12,0,190,0,claude,4,14,0,0.930693,0.87055,1.0,0.9375,1.0,0.930693,1.0,0.87055,1.0,0.371711,0.944964,0.806642,0,10,40,0,192,0,macrozheng_mall-tiny,20260511T105211Z__macrozheng_mall-tiny__a81ec474,v3
10,223,7,318,16,claude,6,65,0,0.521008,0.219585,0.533333,0.697622,0.853333,0.712644,0.84,0.244628,1.0,0.258211,0.598021,0.572375,0,3,104,0,337,8,mbechler_marshalsec,20260511T105217Z__mbechler_marshalsec__243c5aa8,generated
4,56,0,256,1,claude,1,107,0,0.781609,0.447706,1.0,0.85545,0.941176,0.85,0.941176,0.461248,1.0,0.324645,0.798712,0.683264,0,6,15,0,314,7,mbechler_marshalsec,20260511T105217Z__mbechler_marshalsec__243c5aa8,v2
1,66,3,308,13,claude,4,68,0,0.504854,0.483363,0.727273,0.775419,0.851351,0.722222,0.864865,0.534884,1.0,0.303911,0.690591,0.650747,1,11,38,0,315,7,mbechler_marshalsec,20260511T105217Z__mbechler_marshalsec__243c5aa8,v3
20,48,5,262,19,claude,17,85,0,0.585253,0.517333,0.83871,0.682927,0.807018,0.76506,0.795322,0.590214,0.989907,0.191638,0.681758,0.618298,4,24,50,0,202,16,Meituan-Dianping_walle,20260513T080244Z__Meituan-Dianping_walle__f78edcf1,generated
27,55,2,195,6,claude,16,80,0,0.484536,0.414201,0.928571,0.633745,0.745098,0.628205,0.823529,0.478548,0.987407,0.139918,0.624776,0.570719,7,57,101,0,223,21,Meituan-Dianping_walle,20260513T080244Z__Meituan-Dianping_walle__f78edcf1,v2
13,62,5,219,21,claude,16,76,0,0.465969,0.379213,0.83871,0.544747,0.722892,0.686131,0.73494,0.467446,0.98829,0.14786,0.573756,0.552685,6,41,105,0,219,23,Meituan-Dianping_walle,20260513T080244Z__Meituan-Dianping_walle__f78edcf1,v3
4,10,0,89,1,claude,9,7,0,0.924092,0.952819,1.0,0.932605,0.915888,0.924092,0.990654,0.960829,0.997336,0.684882,0.937931,0.89893,4,1,10,0,84,0,Mojang_brigadier,20260513T080251Z__Mojang_brigadier__b5419b18,v2
0,6,0,84,1,claude,5,7,0,0.963211,0.953488,1.0,0.940741,0.933333,0.963211,0.971429,0.961494,0.995789,0.681481,0.950735,0.898158,2,1,13,0,88,2,Mojang_brigadier,20260513T080251Z__Mojang_brigadier__b5419b18,v3
14,36,0,165,2,claude,17,13,0,0.753036,0.761905,1.0,0.823232,0.962963,0.798354,0.962963,0.794824,0.997949,0.217172,0.853047,0.721695,1,1,49,0,145,1,monkeyWie_proxyee,20260513T080257Z__monkeyWie_proxyee__c2c5bb4c,generated
4,30,0,147,1,claude,16,14,0,0.666667,0.742424,1.0,0.795699,0.962025,0.772487,0.962025,0.807157,1.0,0.198925,0.827701,0.715643,1,7,39,0,151,2,monkeyWie_proxyee,20260513T080257Z__monkeyWie_proxyee__c2c5bb4c,v2
8,64,1,152,1,claude,17,21,0,0.70852,0.625,0.9375,0.772846,0.938272,0.735426,0.987654,0.6593,0.996,0.224543,0.79145,0.694206,2,17,79,1,145,0,monkeyWie_proxyee,20260513T080257Z__monkeyWie_proxyee__c2c5bb4c,v3
14,35,3,241,8,claude,17,23,0,0.796117,0.785933,0.95082,0.818505,0.928571,0.82,0.952381,0.818471,1.0,0.241993,0.84938,0.732907,2,6,33,0,185,0,mouzt_mzt-biz-log,20260513T080303Z__mouzt_mzt-biz-log__8d3a0271,generated
10,35,1,215,4,claude,16,21,0,0.806897,0.794872,0.983051,0.866171,0.95122,0.809689,0.97561,0.80389,1.0,0.260223,0.87597,0.73997,2,13,44,0,183,0,mouzt_mzt-biz-log,20260513T080303Z__mouzt_mzt-biz-log__8d3a0271,v2
