agent,andvari_reason,andvari_status,kvasir_reason,kvasir_status,lidskjalv_reason,lidskjalv_status,mimir_reason,mimir_status,project_key,repo_slug,run_id,variant
codex,,passed,behavioral-difference-evidence,failed,,passed,,passed,awaitility_awaitility__generated_v3_codex,awaitility_awaitility,20260507T093651Z__awaitility_awaitility__4fc23ccb,v3
codex,,,,,build_failure,failed,,,DantSu_ESCPOS-ThermalPrinter-Android__original,DantSu_ESCPOS-ThermalPrinter-Android,20260507T093656Z__DantSu_ESCPOS-ThermalPrinter-Android__f61030e4,original
codex,,passed,,passed,,passed,,passed,DantSu_ESCPOS-ThermalPrinter-Android__generated_codex,DantSu_ESCPOS-ThermalPrinter-Android,20260507T093656Z__DantSu_ESCPOS-ThermalPrinter-Android__f61030e4,generated
codex,,passed,,passed,,passed,,passed,DantSu_ESCPOS-ThermalPrinter-Android__generated_v2_codex,DantSu_ESCPOS-ThermalPrinter-Android,20260507T093656Z__DantSu_ESCPOS-ThermalPrinter-Android__f61030e4,v2
codex,,passed,,passed,,passed,,passed,DantSu_ESCPOS-ThermalPrinter-Android__generated_v3_codex,DantSu_ESCPOS-ThermalPrinter-Android,20260507T093656Z__DantSu_ESCPOS-ThermalPrinter-Android__f61030e4,v3
codex,,,,,sdk_not_found,failed,,,elvishew_xLog__original,elvishew_xLog,20260507T093701Z__elvishew_xLog__3faa6b27,original
codex,,passed,behavioral-difference-evidence,failed,,passed,,passed,elvishew_xLog__generated_codex,elvishew_xLog,20260507T093701Z__elvishew_xLog__3faa6b27,generated
codex,,passed,behavioral-difference-evidence,failed,,passed,,passed,elvishew_xLog__generated_v2_codex,elvishew_xLog,20260507T093701Z__elvishew_xLog__3faa6b27,v2
codex,,passed,behavioral-difference-evidence,failed,,passed,,passed,elvishew_xLog__generated_v3_codex,elvishew_xLog,20260507T093701Z__elvishew_xLog__3faa6b27,v3
codex,,,,,,passed,,,EsotericSoftware_reflectasm__original,EsotericSoftware_reflectasm,20260507T093708Z__EsotericSoftware_reflectasm__e34c5e8b,original
